Date 20.07.2020 15:06:39
Wavelength / nm,Intensity / a.u.
Data
386.38037,21812.0
386.38651,21733.0
386.39267,21802.0
386.3988,21739.0
386.40494,21794.0
386.4111,21850.0
386.41724,21787.0
386.42337,21909.0
386.42953,21899.0
386.43567,21983.0
386.4418,21937.0
386.44794,21996.0
386.4541,21911.0
386.46024,22017.0
386.46637,21893.0
386.4725,21835.0
386.47867,21741.0
386.4848,21766.0
386.49094,21715.0
386.4971,21662.0
386.50323,21678.0
386.50937,21588.0
386.5155,21674.0
386.52167,21727.0
386.5278,21704.0
386.53394,21591.0
386.54007,21660.0
386.54623,21695.0
386.55237,21682.0
386.5585,21778.0
386.56464,21780.0
386.5708,21791.0
386.57693,21761.0
386.58307,21787.0
386.5892,21778.0
386.59534,21680.0
386.6015,21689.0
386.60764,21758.0
386.61377,21662.0
386.6199,21745.0
386.62607,21787.0
386.6322,21803.0
386.63834,21758.0
386.64447,21776.0
386.6506,21732.0
386.65677,21708.0
386.6629,21760.0
386.66904,21730.0
386.67517,21693.0
386.6813,21834.0
386.68747,21798.0
386.6936,21836.0
386.69974,21897.0
386.70587,22032.0
386.71201,22186.0
386.71817,22458.0
386.7243,22566.0
386.73044,22629.0
386.73657,22661.0
386.74271,22592.0
386.74887,22358.0
386.755,22285.0
386.76114,22015.0
386.76727,21929.0
386.77341,21884.0
386.77954,21837.0
386.78571,21776.0
386.79184,21808.0
386.79797,21726.0
386.80411,21656.0
386.81024,21747.0
386.81638,21783.0
386.82254,21827.0
386.82867,21817.0
386.83481,21725.0
386.84094,21765.0
386.84708,21715.0
386.85321,21730.0
386.85934,21664.0
386.86551,21720.0
386.87164,21669.0
386.87778,21804.0
386.88391,21680.0
386.89005,21774.0
386.89618,21758.0
386.90231,21767.0
386.90845,21784.0
386.91461,21871.0
386.92075,22049.0
386.92688,22292.0
386.93301,22506.0
386.93915,22314.0
386.94528,22413.0
386.95142,22368.0
386.95755,22232.0
386.96371,22164.0
386.96985,21908.0
386.97598,21916.0
386.98212,21938.0
386.98825,21943.0
386.99438,21915.0
387.00052,22110.0
387.00665,22075.0
387.01279,22148.0
387.01892,22201.0
387.02505,22201.0
387.03122,22264.0
387.03735,22157.0
387.04349,22090.0
387.04962,22036.0
387.05576,21985.0
387.06189,21910.0
387.06802,21960.0
387.07416,21995.0
387.08029,22093.0
387.08643,22150.0
387.09256,22352.0
387.09869,22407.0
387.10483,22503.0
387.11096,22414.0
387.11713,22293.0
387.12326,22399.0
387.12939,22401.0
387.13553,22666.0
387.14166,23033.0
387.1478,23701.0
387.15393,24397.0
387.16006,25204.0
387.1662,26097.0
387.17233,27014.0
387.17847,27785.0
387.1846,28292.0
387.19073,28612.0
387.19687,28632.0
387.203,28364.0
387.20914,28013.0
387.21527,27500.0
387.22141,26994.0
387.22754,26305.0
387.23367,25944.0
387.23981,25542.0
387.24594,25187.0
387.25208,24722.0
387.25821,24174.0
387.26434,23815.0
387.27048,23879.0
387.27661,24023.0
387.28275,24418.0
387.28888,24765.0
387.29501,25182.0
387.30115,25399.0
387.30728,25400.0
387.31342,25486.0
387.31955,25464.0
387.32568,24730.0
387.33182,24351.0
387.33795,23794.0
387.34409,23504.0
387.35022,23161.0
387.35635,23015.0
387.36249,22969.0
387.36862,23004.0
387.37476,23156.0
387.38089,23091.0
387.38702,22939.0
387.39316,22794.0
387.39929,22761.0
387.40543,22688.0
387.41156,23008.0
387.41769,23314.0
387.42383,23559.0
387.42996,23589.0
387.4361,23531.0
387.44223,23359.0
387.44836,23253.0
387.45447,23245.0
387.4606,23366.0
387.46674,23833.0
387.47287,24025.0
387.479,24368.0
387.48514,24803.0
387.49127,25063.0
387.49741,24837.0
387.50354,24225.0
387.50967,23783.0
387.51581,23384.0
387.52194,23041.0
387.52808,22672.0
387.53421,22397.0
387.54031,22669.0
387.54645,22765.0
387.55258,22740.0
387.55872,22653.0
387.56485,22631.0
387.57098,22390.0
387.57712,22291.0
387.58325,22055.0
387.58939,22107.0
387.59552,22270.0
387.60162,22629.0
387.60776,22958.0
387.61389,23164.0
387.62003,23060.0
387.62616,22999.0
387.63229,22829.0
387.63843,22561.0
387.64456,22242.0
387.6507,21990.0
387.6568,21819.0
387.66293,21748.0
387.66907,21848.0
387.6752,21754.0
387.68134,21865.0
387.68747,22013.0
387.6936,22143.0
387.69971,22479.0
387.70584,22979.0
387.71198,23552.0
387.71811,23860.0
387.72424,24330.0
387.73038,24587.0
387.73651,24609.0
387.74261,24239.0
387.74875,23780.0
387.75488,23585.0
387.76102,23305.0
387.76715,22937.0
387.77328,22478.0
387.77939,22428.0
387.78552,22243.0
387.79166,22120.0
387.79779,21901.0
387.80392,21826.0
387.81006,21820.0
387.81616,21800.0
387.8223,21717.0
387.82843,21851.0
387.83456,21939.0
387.8407,22127.0
387.8468,22546.0
387.85294,22765.0
387.85907,23127.0
387.8652,23286.0
387.87134,23515.0
387.87744,23673.0
387.88358,23527.0
387.88971,23307.0
387.89584,22948.0
387.90198,22794.0
387.90808,22640.0
387.91422,22360.0
387.92035,22107.0
387.92648,21903.0
387.93262,21857.0
387.93872,21746.0
387.94485,21925.0
387.95099,21950.0
387.95712,22078.0
387.96323,22192.0
387.96936,22516.0
387.97549,22738.0
387.98163,22829.0
387.98773,23005.0
387.99387,22943.0
388.0,22878.0
388.00613,22650.0
388.01224,22692.0
388.01837,22742.0
388.02451,23022.0
388.03064,23368.0
388.03674,23728.0
388.04288,24035.0
388.04901,24324.0
388.05515,24184.0
388.06125,23861.0
388.06738,23374.0
388.07352,22947.0
388.07965,22595.0
388.08575,22291.0
388.09189,21891.0
388.09802,21724.0
388.10416,21792.0
388.11026,21802.0
388.11639,21708.0
388.12253,21769.0
388.12863,21615.0
388.13477,21817.0
388.1409,21880.0
388.14703,22050.0
388.15314,22171.0
388.15927,22336.0
388.16541,22355.0
388.17151,22336.0
388.17764,22337.0
388.18378,22214.0
388.18988,22076.0
388.19601,21966.0
388.20215,21852.0
388.20825,21695.0
388.21439,21847.0
388.22052,21709.0
388.22665,21782.0
388.23276,21740.0
388.23889,21750.0
388.24503,21833.0
388.25113,21708.0
388.25726,21743.0
388.2634,21742.0
388.2695,21680.0
388.27563,21740.0
388.28177,21739.0
388.28787,21779.0
388.29401,21740.0
388.30014,21789.0
388.30624,21750.0
388.31238,21815.0
388.31848,21780.0
388.32462,21818.0
388.33075,21848.0
388.33685,21844.0
388.34299,21823.0
388.34912,21854.0
388.35522,21844.0
388.36136,21822.0
388.36749,21754.0
388.3736,21736.0
388.37973,21724.0
388.38583,21697.0
388.39197,21743.0
388.3981,21732.0
388.40421,21729.0
388.41034,21854.0
388.41647,22011.0
388.42258,22382.0
388.42871,22707.0
388.43481,23139.0
388.44095,23471.0
388.44708,23759.0
388.45319,23926.0
388.45932,23871.0
388.46542,23524.0
388.47156,23115.0
388.47769,22708.0
388.4838,22435.0
388.48993,22021.0
388.49603,21813.0
388.50217,21764.0
388.5083,21738.0
388.5144,21705.0
388.52054,21723.0
388.52664,21680.0
388.53278,21727.0
388.53888,21754.0
388.54501,21739.0
388.55115,21769.0
388.55725,21817.0
388.56339,21866.0
388.56949,21809.0
388.57562,21816.0
388.58173,21774.0
388.58786,21818.0
388.59396,21851.0
388.6001,21795.0
388.60623,21816.0
388.61234,21827.0
388.61847,21916.0
388.62457,22135.0
388.63071,22342.0
388.63681,22529.0
388.64294,22808.0
388.64905,23069.0
388.65518,23158.0
388.66129,22966.0
388.66742,22763.0
388.67352,22549.0
388.67966,22304.0
388.68576,22133.0
388.69189,21878.0
388.69803,21791.0
388.70413,21750.0
388.71027,21748.0
388.71637,21795.0
388.7225,21652.0
388.72861,21779.0
388.73474,21750.0
388.74084,21863.0
388.74698,21860.0
388.75308,21844.0
388.75922,21788.0
388.76532,21860.0
388.77145,21899.0
388.77756,21839.0
388.78369,21817.0
388.78979,21821.0
388.79593,21822.0
388.80203,21887.0
388.80814,21851.0
388.81427,21912.0
388.82037,21915.0
388.82651,21810.0
388.83261,21910.0
388.83875,21783.0
388.84485,21843.0
388.85098,21751.0
388.85709,21874.0
388.86322,21889.0
388.86932,22011.0
388.87546,22090.0
388.88156,22432.0
388.8877,23247.0
388.8938,24365.0
388.8999,25712.0
388.90604,27185.0
388.91214,28461.0
388.91827,29622.0
388.92438,30092.0
388.93051,30030.0
388.93661,29528.0
388.94272,28573.0
388.94885,27470.0
388.95496,26138.0
388.96109,24882.0
388.96719,24023.0
388.97333,23445.0
388.97943,23250.0
388.98553,23422.0
388.99167,23826.0
388.99777,24195.0
389.00391,24259.0
389.01001,24251.0
389.01611,23986.0
389.02225,23810.0
389.02835,23275.0
389.03448,22894.0
389.04059,22712.0
389.04672,22889.0
389.05283,23212.0
389.05893,23814.0
389.06506,24252.0
389.07117,24382.0
389.07727,24386.0
389.0834,24196.0
389.08951,23921.0
389.09564,23380.0
389.10175,22873.0
389.10785,22647.0
389.11398,22956.0
389.12009,23542.0
389.12619,24464.0
389.13232,24932.0
389.13843,24921.0
389.14456,24669.0
389.15067,24270.0
389.15677,23751.0
389.1629,23063.0
389.16901,22235.0
389.17511,21851.0
389.18124,21770.0
389.18735,21661.0
389.19345,21709.0
389.19958,21795.0
389.20569,21776.0
389.21179,21762.0
389.21793,21803.0
389.22403,21735.0
389.23013,21791.0
389.23627,21763.0
389.24237,21896.0
389.24847,22223.0
389.25461,22682.0
389.26071,23514.0
389.26682,24356.0
389.27295,24651.0
389.27905,24650.0
389.28516,24735.0
389.29129,24627.0
389.29739,24858.0
389.3035,25202.0
389.30963,25589.0
389.31573,26251.0
389.32184,26325.0
389.32794,26185.0
389.33408,25520.0
389.34018,24788.0
389.34628,23695.0
389.35242,22861.0
389.35852,22083.0
389.36462,21772.0
389.37073,21699.0
389.37686,21711.0
389.38297,21702.0
389.38907,21639.0
389.3952,21708.0
389.40131,21730.0
389.40741,21800.0
389.41351,21734.0
389.41965,21797.0
389.42575,21746.0
389.43185,21775.0
389.43796,21740.0
389.44409,21621.0
389.4502,21694.0
389.4563,21684.0
389.4624,21698.0
389.46854,21726.0
389.47464,21725.0
389.48074,21725.0
389.48685,21749.0
389.49298,21922.0
389.49908,22344.0
389.50519,23180.0
389.51129,24338.0
389.51743,25393.0
389.52353,25927.0
389.52963,26095.0
389.53574,26460.0
389.54187,26826.0
389.54797,27340.0
389.55408,27446.0
389.56018,26931.0
389.56628,26375.0
389.57242,25906.0
389.57852,25154.0
389.58463,24155.0
389.59073,23144.0
389.59683,22224.0
389.60297,21825.0
389.60907,21750.0
389.61517,21762.0
389.62128,21724.0
