Date 25.02.2020 12:23:21
Wavelength / nm,Intensity / a.u.
Data
432.22855,15282.0
432.23444,15292.0
432.24033,15268.0
432.24622,15426.0
432.25211,15583.0
432.25803,15682.0
432.26392,15939.0
432.26981,16127.0
432.2757,16712.0
432.28159,17364.0
432.28748,18190.0
432.29337,18976.0
432.29926,19383.0
432.30515,19766.0
432.31104,19842.0
432.31693,19660.0
432.32281,19485.0
432.32874,19265.0
432.33463,19200.0
432.34052,19059.0
432.34641,18730.0
432.35229,18641.0
432.35818,18710.0
432.36407,19075.0
432.36996,19540.0
432.37585,19532.0
432.38174,19368.0
432.38763,18856.0
432.39352,18296.0
432.39941,17793.0
432.4053,17394.0
432.41119,17074.0
432.41708,16858.0
432.42297,16786.0
432.42886,16677.0
432.43475,16492.0
432.44064,16227.0
432.44653,15913.0
432.45242,15711.0
432.45834,15518.0
432.46423,15659.0
432.47012,15673.0
432.47601,15695.0
432.4819,15701.0
432.48779,15649.0
432.49368,15631.0
432.49957,15794.0
432.50546,15798.0
432.51135,15719.0
432.51724,15760.0
432.52313,15783.0
432.52902,15864.0
432.53491,15746.0
432.5408,15601.0
432.54669,15476.0
432.55258,15532.0
432.55847,15475.0
432.56436,15571.0
432.57025,15555.0
432.57614,15698.0
432.58203,15796.0
432.58792,15882.0
432.59381,15847.0
432.59967,15733.0
432.60556,15517.0
432.61145,15382.0
432.61734,15188.0
432.62323,15195.0
432.62912,15173.0
432.63501,15095.0
432.6409,15108.0
432.64679,15251.0
432.65268,15201.0
432.65857,15354.0
432.66446,15445.0
432.67035,15546.0
432.67624,15520.0
432.68213,15556.0
432.68802,15676.0
432.69391,15701.0
432.6998,15897.0
432.70569,16032.0
432.71158,16507.0
432.71747,17221.0
432.72333,17798.0
432.72922,17915.0
432.73511,17557.0
432.741,16927.0
432.74689,16200.0
432.75278,15628.0
432.75867,15466.0
432.76456,15523.0
432.77045,15589.0
432.77634,15729.0
432.78223,15849.0
432.78812,15983.0
432.79401,15830.0
432.79987,15715.0
432.80576,15676.0
432.81165,15654.0
432.81754,15650.0
432.82343,15641.0
432.82932,15537.0
432.83521,15490.0
432.84109,15354.0
432.84698,15410.0
432.85284,15349.0
432.85873,15418.0
432.86462,15470.0
432.87051,15680.0
432.8764,15702.0
432.88229,15608.0
432.88818,15508.0
432.89407,15560.0
432.89993,15670.0
432.90582,15682.0
432.91171,15832.0
432.9176,15890.0
432.92349,15954.0
