Date and Time:                Thu Oct 22 13:46:56.417 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.2
Accumulate Cycle Time (secs): 0.2
Frequency (Hz):               5
Number of Accumulations:      120
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              388
388.4314	401
388.43756	430
388.44373	405
388.44989	378
388.45605	421
388.46222	407
388.46838	369
388.47452	438
388.48068	399
388.48685	400
388.49301	353
388.49918	443
388.50534	387
388.51151	401
388.51764	438
388.5238	359
388.52997	423
388.53613	353
388.5423	453
388.54846	435
388.55463	365
388.56076	384
388.56693	393
388.57309	437
388.57925	419
388.58542	430
388.59158	390
388.59772	418
388.60388	447
388.61005	418
388.61621	376
388.62238	406
388.62854	391
388.63467	431
388.64084	399
388.647	386
388.65317	383
388.65933	383
388.66547	395
388.67163	423
388.6778	391
388.68396	389
388.69012	433
388.69629	416
388.70242	392
388.70859	410
388.71475	391
388.72092	391
388.72708	398
388.73322	382
388.73938	398
388.74554	389
388.75171	401
388.75784	377
388.76401	385
388.77017	405
388.77634	392
388.7825	409
388.78864	369
388.7948	436
388.80096	442
388.80713	434
388.81326	449
388.81943	515
388.82559	583
388.83176	649
388.83792	651
388.84406	570
388.85022	544
388.85638	492
388.86255	452
388.86868	422
388.87485	428
388.88101	407
388.88718	421
388.89331	382
388.89948	373
388.90564	418
388.9118	410
388.91794	447
388.9241	447
388.93027	404
388.93643	432
388.94257	467
388.94873	424
388.9549	422
388.96103	389
388.96719	390
388.97336	448
388.97952	400
388.98566	469
388.99182	440
388.99799	403
389.00412	443
389.01028	414
389.01645	421
389.02261	411
389.02875	420
389.03491	404
389.04108	428
389.04721	489
389.05338	439
389.05954	437
389.0657	476
389.07184	413
389.078	406
389.08417	430
389.0903	377
389.09647	385
389.10263	407
389.10876	402
389.11493	385
389.12109	444
389.12723	422
389.13339	410
389.13956	401
389.14569	412
389.15186	408
389.15802	421
