Date and Time:                Wed May 6 09:05:29.406 2020
Software Version:             4.30.30034.0
Temperature (C):              -65
Model:                        DU940P_BU2
Data Type:                    Counts (Bg Corrected)
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         0.1
Accumulate Cycle Time (secs): 0.1
Frequency (Hz):               10
Number of Accumulations:      30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 57.71
Pixel Readout Rate (MHz):     0.05
Baseline Clamp:               OFF
Clock Amplitude:              Normal
Output Amplifier:             High Sensitivity
Serial Number:                22557
Pre-Amplifier Gain:           1.000000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR750:
Serial Number:                SR-3044
Wavelength (nm):              499.984
217.0733	19.8701
217.1062	19.9539
217.1391	21.1714
217.172	24.2121
217.2049	23.2728
217.23779	20.1138
217.27068	18.3001
217.30357	18.7597
217.33647	23.4286
217.36937	22.931
217.40227	17.7359
217.43517	13.9532
217.46806	11.8246
217.50096	9.9584
217.53386	9.76959
217.56676	10.3884
217.59966	11.9054
217.63254	14.2266
217.66544	17.6351
217.69833	23.0999
217.73123	22.991
217.76413	20.88
217.79703	20.9383
217.82993	19.6776
217.86282	21.5672
217.89572	23.5975
217.92862	20.9413
217.96152	16.1074
217.9944	12.4969
218.0273	13.915
218.0602	16.5713
218.09309	18.9042
218.12599	19.5395
218.15889	16.9757
218.19179	13.5282
218.22469	9.5535
218.25758	4.94952
218.29048	4.48682
218.32338	7.44532
218.35626	12.4571
218.38916	15.977
218.42206	15.879
218.45496	15.0021
218.48785	15.3861
218.52075	16.1876
218.55365	17.049
218.58655	19.0863
218.61945	22.2984
218.65234	25.7362
218.68523	27.809
218.71812	28.8996
218.75102	27.2997
218.78392	22.9978
218.81682	19.7655
218.84972	18.5105
218.88261	17.8909
218.91551	22.0377
218.94841	26.6393
218.98131	25.4119
219.01421	22.9393
219.04709	24.786
219.07999	26.5233
219.11288	25.9036
219.14578	25.2037
219.17868	24.2819
219.21158	22.3895
219.24448	20.4093
219.27737	19.5689
219.31027	18.0627
219.34317	18.5056
219.37607	23.9283
219.40895	26.1459
219.44185	21.7854
219.47475	17.0074
219.50764	15.751
219.54054	16.7916
219.57344	22.9308
219.60634	28.8471
219.63924	27.1029
219.67213	20.7659
219.70503	16.5084
219.73793	15.2778
219.77081	15.8163
219.80371	19.1522
219.83661	21.8724
219.86951	22.382
219.9024	22.9721
219.9353	25.527
219.9682	25.6287
220.0011	24.7988
220.034	25.9729
220.06689	24.5293
220.09979	24.5208
220.13268	26.2472
